,Province/State,Country/Region,date,Lat,Long,confirmed,deaths,recoveries
140,,Luxembourg,1/22/20,49.8153,6.1296,0,0,0
141,,Madagascar,1/22/20,-18.7669,46.8691,0,0,0
142,,Malaysia,1/22/20,2.5,112.5,0,0,0
143,,Maldives,1/22/20,3.2028,73.2207,0,0,0
144,,Malta,1/22/20,35.9375,14.3754,0,0,0
145,,Mauritania,1/22/20,21.0079,10.9408,0,0,0
146,,Mauritius,1/22/20,-20.2,57.5,0,0,0
147,,Mexico,1/22/20,23.6345,-102.5528,0,0,0
148,,Moldova,1/22/20,47.4116,28.3699,0,0,0
149,,Monaco,1/22/20,43.7333,7.4167,0,0,0
150,,Mongolia,1/22/20,46.8625,103.8467,0,0,0
151,,Montenegro,1/22/20,42.5,19.3,0,0,0
152,,Morocco,1/22/20,31.7917,-7.0926,0,0,0
153,,Namibia,1/22/20,-22.9576,18.4904,0,0,0
154,,Nepal,1/22/20,28.1667,84.25,0,0,0
155,Aruba,Netherlands,1/22/20,12.5186,-70.0358,0,0,0
156,Curacao,Netherlands,1/22/20,12.1696,-68.99,0,0,0
157,Sint Maarten,Netherlands,1/22/20,18.0425,-63.0548,0,0,0
158,,Netherlands,1/22/20,52.1326,5.2913,0,0,0
159,,New Zealand,1/22/20,-40.9006,174.886,0,0,0
160,,Nicaragua,1/22/20,12.8654,-85.2072,0,0,0
161,,Niger,1/22/20,17.6078,8.0817,0,0,0
162,,Nigeria,1/22/20,9.082,8.6753,0,0,0
163,,North Macedonia,1/22/20,41.6086,21.7453,0,0,0
164,,Norway,1/22/20,60.472,8.4689,0,0,0
165,,Oman,1/22/20,21.0,57.0,0,0,0
166,,Pakistan,1/22/20,30.3753,69.3451,0,0,0
167,,Panama,1/22/20,8.538,-80.7821,0,0,0
168,,Papua New Guinea,1/22/20,-6.315,143.9555,0,0,0
169,,Paraguay,1/22/20,-23.4425,-58.4438,0,0,0
170,,Peru,1/22/20,-9.19,-75.0152,0,0,0
171,,Philippines,1/22/20,13.0,122.0,0,0,0
172,,Poland,1/22/20,51.9194,19.1451,0,0,0
173,,Portugal,1/22/20,39.3999,-8.2245,0,0,0
174,,Qatar,1/22/20,25.3548,51.1839,0,0,0
175,,Romania,1/22/20,45.9432,24.9668,0,0,0
176,,Russia,1/22/20,60.0,90.0,0,0,0
177,,Rwanda,1/22/20,-1.9403,29.8739,0,0,0
178,,Saint Lucia,1/22/20,13.9094,-60.9789,0,0,0
179,,Saint Vincent and the Grenadines,1/22/20,12.9843,-61.2872,0,0,0
180,,San Marino,1/22/20,43.9424,12.4578,0,0,0
181,,Saudi Arabia,1/22/20,24.0,45.0,0,0,0
182,,Senegal,1/22/20,14.4974,-14.4524,0,0,0
183,,Serbia,1/22/20,44.0165,21.0059,0,0,0
184,,Seychelles,1/22/20,-4.6796,55.492,0,0,0
185,,Singapore,1/22/20,1.2833,103.8333,0,0,0
186,,Slovakia,1/22/20,48.669,19.699,0,0,0
187,,Slovenia,1/22/20,46.1512,14.9955,0,0,0
188,,Somalia,1/22/20,5.1521,46.1996,0,0,0
189,,South Africa,1/22/20,-30.5595,22.9375,0,0,0
190,,Spain,1/22/20,40.0,-4.0,0,0,0
191,,Sri Lanka,1/22/20,7.0,81.0,0,0,0
192,,Sudan,1/22/20,12.8628,30.2176,0,0,0
193,,Suriname,1/22/20,3.9193,-56.0278,0,0,0
194,,Sweden,1/22/20,63.0,16.0,0,0,0
195,,Switzerland,1/22/20,46.8182,8.2275,0,0,0
196,,Taiwan*,1/22/20,23.7,121.0,1,0,0
197,,Tanzania,1/22/20,-6.369,34.8888,0,0,0
198,,Thailand,1/22/20,15.0,101.0,2,0,0
199,,Togo,1/22/20,8.6195,0.8248,0,0,0
200,,Trinidad and Tobago,1/22/20,10.6918,-61.2225,0,0,0
201,,Tunisia,1/22/20,34.0,9.0,0,0,0
202,,Turkey,1/22/20,38.9637,35.2433,0,0,0
203,,Uganda,1/22/20,1.0,32.0,0,0,0
204,,Ukraine,1/22/20,48.3794,31.1656,0,0,0
205,,United Arab Emirates,1/22/20,24.0,54.0,0,0,0
206,Bermuda,United Kingdom,1/22/20,32.3078,-64.7505,0,0,0
207,Cayman Islands,United Kingdom,1/22/20,19.3133,-81.2546,0,0,0
208,Channel Islands,United Kingdom,1/22/20,49.3723,-2.3644,0,0,0
209,Gibraltar,United Kingdom,1/22/20,36.1408,-5.3536,0,0,0
210,Isle of Man,United Kingdom,1/22/20,54.2361,-4.5481,0,0,0
211,Montserrat,United Kingdom,1/22/20,16.7425,-62.1874,0,0,0
212,,United Kingdom,1/22/20,55.3781,-3.4360000000000004,0,0,0
213,,Uruguay,1/22/20,-32.5228,-55.7658,0,0,0
214,,US,1/22/20,37.0902,-95.7129,1,0,0
215,,Uzbekistan,1/22/20,41.3775,64.5853,0,0,0
216,,Venezuela,1/22/20,6.4238,-66.5897,0,0,0
217,,Vietnam,1/22/20,16.0,108.0,0,0,0
218,,Zambia,1/22/20,-15.4167,28.2833,0,0,0
219,,Zimbabwe,1/22/20,-20.0,30.0,0,0,0
220,,Dominica,1/22/20,15.415,-61.371,0,0,0
221,,Grenada,1/22/20,12.1165,-61.679,0,0,0
222,,Mozambique,1/22/20,-18.6657,35.5296,0,0,0
223,,Syria,1/22/20,34.8021,38.9968,0,0,0
224,,Timor-Leste,1/22/20,-8.8742,125.7275,0,0,0
225,,Belize,1/22/20,13.1939,-59.5432,0,0,0
226,,Laos,1/22/20,19.85627,102.495496,0,0,0
227,,Libya,1/22/20,26.3351,17.228331,0,0,0
228,,West Bank and Gaza,1/22/20,31.9522,35.2332,0,0,0
229,,Guinea-Bissau,1/22/20,11.8037,-15.1804,0,0,0
230,,Mali,1/22/20,17.570692,-3.996166000000001,0,0,0
231,,Saint Kitts and Nevis,1/22/20,17.357822,-62.782998,0,0,0
232,,Kosovo,1/22/20,42.602636,20.902977,0,0,0
233,,Burma,1/22/20,21.9162,95.956,0,0,0
234,Anguilla,United Kingdom,1/22/20,18.2206,-63.0686,0,0,0
235,British Virgin Islands,United Kingdom,1/22/20,18.4207,-64.64,0,0,0
236,Turks and Caicos Islands,United Kingdom,1/22/20,21.69400000000001,-71.7979,0,0,0
237,,MS Zaandam,1/22/20,0.0,0.0,0,0,0
238,,Botswana,1/22/20,-22.3285,24.6849,0,0,0
239,,Burundi,1/22/20,-3.3731,29.9189,0,0,0
240,,Sierra Leone,1/22/20,8.460555000000001,-11.779889,0,0,0
241,"Bonaire, Sint Eustatius and Saba",Netherlands,1/22/20,12.1784,-68.2385,0,0,0
242,,Malawi,1/22/20,-13.254307999999998,34.301525,0,0,0
243,Falkland Islands (Malvinas),United Kingdom,1/22/20,-51.7963,-59.5236,0,0,0
244,Saint Pierre and Miquelon,France,1/22/20,46.8852,-56.3159,0,0,0
245,,South Sudan,1/22/20,6.877000000000002,31.307,0,0,0
246,,Western Sahara,1/22/20,24.2155,-12.8858,0,0,0
247,,Sao Tome and Principe,1/22/20,0.18636,6.613081,0,0,0
248,,Yemen,1/22/20,15.552727,48.516388,0,0,0
249,,Comoros,1/22/20,-11.6455,43.3333,0,0,0
250,,Tajikistan,1/22/20,38.861034,71.276093,0,0,0
251,,Lesotho,1/22/20,-29.609988,28.233608,0,0,0
252,,Afghanistan,1/23/20,33.0,65.0,0,0,0
253,,Albania,1/23/20,41.1533,20.1683,0,0,0
254,,Algeria,1/23/20,28.0339,1.6596,0,0,0
255,,Andorra,1/23/20,42.5063,1.5218,0,0,0
256,,Angola,1/23/20,-11.2027,17.8739,0,0,0
257,,Antigua and Barbuda,1/23/20,17.0608,-61.7964,0,0,0
258,,Argentina,1/23/20,-38.4161,-63.6167,0,0,0
259,,Armenia,1/23/20,40.0691,45.0382,0,0,0
260,Australian Capital Territory,Australia,1/23/20,-35.4735,149.0124,0,0,0
261,New South Wales,Australia,1/23/20,-33.8688,151.2093,0,0,0
262,Northern Territory,Australia,1/23/20,-12.4634,130.8456,0,0,0
263,Queensland,Australia,1/23/20,-28.0167,153.4,0,0,0
264,South Australia,Australia,1/23/20,-34.9285,138.6007,0,0,0
265,Tasmania,Australia,1/23/20,-41.4545,145.9707,0,0,0
266,Victoria,Australia,1/23/20,-37.8136,144.9631,0,0,0
267,Western Australia,Australia,1/23/20,-31.9505,115.8605,0,0,0
268,,Austria,1/23/20,47.5162,14.5501,0,0,0
269,,Azerbaijan,1/23/20,40.1431,47.5769,0,0,0
270,,Bahamas,1/23/20,25.0343,-77.3963,0,0,0
271,,Bahrain,1/23/20,26.0275,50.55,0,0,0
272,,Bangladesh,1/23/20,23.685,90.3563,0,0,0
273,,Barbados,1/23/20,13.1939,-59.5432,0,0,0
274,,Belarus,1/23/20,53.7098,27.9534,0,0,0
275,,Belgium,1/23/20,50.8333,4.0,0,0,0
276,,Benin,1/23/20,9.3077,2.3158,0,0,0
277,,Bhutan,1/23/20,27.5142,90.4336,0,0,0
278,,Bolivia,1/23/20,-16.2902,-63.5887,0,0,0
279,,Bosnia and Herzegovina,1/23/20,43.9159,17.6791,0,0,0
280,,Brazil,1/23/20,-14.235,-51.9253,0,0,0
281,,Brunei,1/23/20,4.5353,114.7277,0,0,0
282,,Bulgaria,1/23/20,42.7339,25.4858,0,0,0
283,,Burkina Faso,1/23/20,12.2383,-1.5616,0,0,0
284,,Cabo Verde,1/23/20,16.5388,-23.0418,0,0,0
285,,Cambodia,1/23/20,11.55,104.9167,0,0,0
286,,Cameroon,1/23/20,3.848,11.5021,0,0,0
287,,Central African Republic,1/23/20,6.6111,20.9394,0,0,0
288,,Chad,1/23/20,15.4542,18.7322,0,0,0
289,,Chile,1/23/20,-35.6751,-71.543,0,0,0
290,Anhui,China,1/23/20,31.8257,117.2264,9,0,0
291,Beijing,China,1/23/20,40.1824,116.4142,22,0,0
292,Chongqing,China,1/23/20,30.0572,107.874,9,0,0
293,Fujian,China,1/23/20,26.0789,117.9874,5,0,0
294,Gansu,China,1/23/20,37.8099,101.0583,2,0,0
295,Guangdong,China,1/23/20,23.3417,113.4244,32,0,2
296,Guangxi,China,1/23/20,23.8298,108.7881,5,0,0
297,Guizhou,China,1/23/20,26.8154,106.8748,3,0,0
298,Hainan,China,1/23/20,19.1959,109.7453,5,0,0
299,Hebei,China,1/23/20,39.549,116.1306,1,1,0
300,Heilongjiang,China,1/23/20,47.862,127.7615,2,0,0
301,Henan,China,1/23/20,33.882,113.614,5,0,0
302,Hong Kong,China,1/23/20,22.3,114.2,2,0,0
303,Hubei,China,1/23/20,30.9756,112.2707,444,17,28
304,Hunan,China,1/23/20,27.6104,111.7088,9,0,0
305,Inner Mongolia,China,1/23/20,44.0935,113.9448,0,0,0
306,Jiangsu,China,1/23/20,32.9711,119.455,5,0,0
307,Jiangxi,China,1/23/20,27.614,115.7221,7,0,0
308,Jilin,China,1/23/20,43.6661,126.1923,1,0,0
309,Liaoning,China,1/23/20,41.2956,122.6085,3,0,0
310,Macau,China,1/23/20,22.1667,113.55,2,0,0
311,Ningxia,China,1/23/20,37.2692,106.1655,1,0,0
312,Qinghai,China,1/23/20,35.7452,95.9956,0,0,0
313,Shaanxi,China,1/23/20,35.1917,108.8701,3,0,0
314,Shandong,China,1/23/20,36.3427,118.1498,6,0,0
315,Shanghai,China,1/23/20,31.202,121.4491,16,0,0
316,Shanxi,China,1/23/20,37.5777,112.2922,1,0,0
317,Sichuan,China,1/23/20,30.6171,102.7103,8,0,0
318,Tianjin,China,1/23/20,39.3054,117.323,4,0,0
319,Tibet,China,1/23/20,31.6927,88.0924,0,0,0
320,Xinjiang,China,1/23/20,41.1129,85.2401,2,0,0
321,Yunnan,China,1/23/20,24.974,101.487,2,0,0
322,Zhejiang,China,1/23/20,29.1832,120.0934,27,0,0
323,,Colombia,1/23/20,4.5709,-74.2973,0,0,0
324,,Congo (Brazzaville),1/23/20,-4.0383,21.7587,0,0,0
325,,Congo (Kinshasa),1/23/20,-4.0383,21.7587,0,0,0
326,,Costa Rica,1/23/20,9.7489,-83.7534,0,0,0
327,,Cote d'Ivoire,1/23/20,7.54,-5.5471,0,0,0
328,,Croatia,1/23/20,45.1,15.2,0,0,0
329,,Diamond Princess,1/23/20,0.0,0.0,0,0,0
330,,Cuba,1/23/20,22.0,-80.0,0,0,0
331,,Cyprus,1/23/20,35.1264,33.4299,0,0,0
332,,Czechia,1/23/20,49.8175,15.473,0,0,0
333,Faroe Islands,Denmark,1/23/20,61.8926,-6.9118,0,0,0
334,Greenland,Denmark,1/23/20,71.7069,-42.6043,0,0,0
335,,Denmark,1/23/20,56.2639,9.5018,0,0,0
336,,Djibouti,1/23/20,11.8251,42.5903,0,0,0
337,,Dominican Republic,1/23/20,18.7357,-70.1627,0,0,0
338,,Ecuador,1/23/20,-1.8312,-78.1834,0,0,0
339,,Egypt,1/23/20,26.0,30.0,0,0,0
340,,El Salvador,1/23/20,13.7942,-88.8965,0,0,0
341,,Equatorial Guinea,1/23/20,1.5,10.0,0,0,0
342,,Eritrea,1/23/20,15.1794,39.7823,0,0,0
343,,Estonia,1/23/20,58.5953,25.0136,0,0,0
344,,Eswatini,1/23/20,-26.5225,31.4659,0,0,0
345,,Ethiopia,1/23/20,9.145,40.4897,0,0,0
346,,Fiji,1/23/20,-17.7134,178.065,0,0,0
347,,Finland,1/23/20,64.0,26.0,0,0,0
348,French Guiana,France,1/23/20,3.9339,-53.1258,0,0,0
349,French Polynesia,France,1/23/20,-17.6797,149.4068,0,0,0
350,Guadeloupe,France,1/23/20,16.25,-61.5833,0,0,0
351,Mayotte,France,1/23/20,-12.8275,45.1662,0,0,0
352,New Caledonia,France,1/23/20,-20.9043,165.618,0,0,0
353,Reunion,France,1/23/20,-21.1351,55.2471,0,0,0
354,Saint Barthelemy,France,1/23/20,17.9,-62.8333,0,0,0
355,St Martin,France,1/23/20,18.0708,-63.0501,0,0,0
356,Martinique,France,1/23/20,14.6415,-61.0242,0,0,0
357,,France,1/23/20,46.2276,2.2137,0,0,0
358,,Gabon,1/23/20,-0.8037,11.6094,0,0,0
359,,Gambia,1/23/20,13.4432,-15.3101,0,0,0
360,,Georgia,1/23/20,42.3154,43.3569,0,0,0
361,,Germany,1/23/20,51.0,9.0,0,0,0
362,,Ghana,1/23/20,7.9465,-1.0232,0,0,0
363,,Greece,1/23/20,39.0742,21.8243,0,0,0
364,,Guatemala,1/23/20,15.7835,-90.2308,0,0,0
365,,Guinea,1/23/20,9.9456,-9.6966,0,0,0
366,,Guyana,1/23/20,5.0,-58.75,0,0,0
367,,Haiti,1/23/20,18.9712,-72.2852,0,0,0
368,,Holy See,1/23/20,41.9029,12.4534,0,0,0
369,,Honduras,1/23/20,15.2,-86.2419,0,0,0
370,,Hungary,1/23/20,47.1625,19.5033,0,0,0
371,,Iceland,1/23/20,64.9631,-19.0208,0,0,0
372,,India,1/23/20,21.0,78.0,0,0,0
373,,Indonesia,1/23/20,-0.7893,113.9213,0,0,0
374,,Iran,1/23/20,32.0,53.0,0,0,0
375,,Iraq,1/23/20,33.0,44.0,0,0,0
376,,Ireland,1/23/20,53.1424,-7.6921,0,0,0
377,,Israel,1/23/20,31.0,35.0,0,0,0
378,,Italy,1/23/20,43.0,12.0,0,0,0
379,,Jamaica,1/23/20,18.1096,-77.2975,0,0,0
380,,Japan,1/23/20,36.0,138.0,2,0,0
381,,Jordan,1/23/20,31.24,36.51,0,0,0
382,,Kazakhstan,1/23/20,48.0196,66.9237,0,0,0
383,,Kenya,1/23/20,-0.0236,37.9062,0,0,0
384,,"Korea, South",1/23/20,36.0,128.0,1,0,0
385,,Kuwait,1/23/20,29.5,47.75,0,0,0
386,,Kyrgyzstan,1/23/20,41.2044,74.7661,0,0,0
387,,Latvia,1/23/20,56.8796,24.6032,0,0,0
388,,Lebanon,1/23/20,33.8547,35.8623,0,0,0
389,,Liberia,1/23/20,6.4281,-9.4295,0,0,0
390,,Liechtenstein,1/23/20,47.14,9.55,0,0,0
391,,Lithuania,1/23/20,55.1694,23.8813,0,0,0
392,,Luxembourg,1/23/20,49.8153,6.1296,0,0,0
393,,Madagascar,1/23/20,-18.7669,46.8691,0,0,0
394,,Malaysia,1/23/20,2.5,112.5,0,0,0
395,,Maldives,1/23/20,3.2028,73.2207,0,0,0
396,,Malta,1/23/20,35.9375,14.3754,0,0,0
397,,Mauritania,1/23/20,21.0079,10.9408,0,0,0
398,,Mauritius,1/23/20,-20.2,57.5,0,0,0
399,,Mexico,1/23/20,23.6345,-102.5528,0,0,0
400,,Moldova,1/23/20,47.4116,28.3699,0,0,0
401,,Monaco,1/23/20,43.7333,7.4167,0,0,0
402,,Mongolia,1/23/20,46.8625,103.8467,0,0,0
403,,Montenegro,1/23/20,42.5,19.3,0,0,0
404,,Morocco,1/23/20,31.7917,-7.0926,0,0,0
405,,Namibia,1/23/20,-22.9576,18.4904,0,0,0
406,,Nepal,1/23/20,28.1667,84.25,0,0,0
407,Aruba,Netherlands,1/23/20,12.5186,-70.0358,0,0,0
408,Curacao,Netherlands,1/23/20,12.1696,-68.99,0,0,0
409,Sint Maarten,Netherlands,1/23/20,18.0425,-63.0548,0,0,0
410,,Netherlands,1/23/20,52.1326,5.2913,0,0,0
411,,New Zealand,1/23/20,-40.9006,174.886,0,0,0
412,,Nicaragua,1/23/20,12.8654,-85.2072,0,0,0
413,,Niger,1/23/20,17.6078,8.0817,0,0,0
414,,Nigeria,1/23/20,9.082,8.6753,0,0,0
415,,North Macedonia,1/23/20,41.6086,21.7453,0,0,0
416,,Norway,1/23/20,60.472,8.4689,0,0,0
417,,Oman,1/23/20,21.0,57.0,0,0,0
418,,Pakistan,1/23/20,30.3753,69.3451,0,0,0
419,,Panama,1/23/20,8.538,-80.7821,0,0,0
420,,Papua New Guinea,1/23/20,-6.315,143.9555,0,0,0
421,,Paraguay,1/23/20,-23.4425,-58.4438,0,0,0
422,,Peru,1/23/20,-9.19,-75.0152,0,0,0
423,,Philippines,1/23/20,13.0,122.0,0,0,0
424,,Poland,1/23/20,51.9194,19.1451,0,0,0
425,,Portugal,1/23/20,39.3999,-8.2245,0,0,0
426,,Qatar,1/23/20,25.3548,51.1839,0,0,0
427,,Romania,1/23/20,45.9432,24.9668,0,0,0
428,,Russia,1/23/20,60.0,90.0,0,0,0
429,,Rwanda,1/23/20,-1.9403,29.8739,0,0,0
430,,Saint Lucia,1/23/20,13.9094,-60.9789,0,0,0
431,,Saint Vincent and the Grenadines,1/23/20,12.9843,-61.2872,0,0,0
432,,San Marino,1/23/20,43.9424,12.4578,0,0,0
433,,Saudi Arabia,1/23/20,24.0,45.0,0,0,0
434,,Senegal,1/23/20,14.4974,-14.4524,0,0,0
435,,Serbia,1/23/20,44.0165,21.0059,0,0,0
436,,Seychelles,1/23/20,-4.6796,55.492,0,0,0
437,,Singapore,1/23/20,1.2833,103.8333,1,0,0
438,,Slovakia,1/23/20,48.669,19.699,0,0,0
439,,Slovenia,1/23/20,46.1512,14.9955,0,0,0
